0.414598676	RTUEVMIKF
0.218643005	RSJQQBFZ
0.599338472	TOOC
0.227753083	ILHEHYL
0.514933972	ISNRH
0.560932542	YBDLBVWX
0.242831995	GAXSZS
0.065437774	PBDWQ
0.565333106	YKV
0.88865724	DUBDNXYHAQ
0.258788541	HOPEQKW
0.213076534	KPGFLZELS
0.905326995	XHDDXHXM
0.399680821	HYNZLZR
0.326631154	LZVAUL
0.840683713	KAPNHAXNY
0.90484274	JRUA
0.557930247	AANERCYIQ
0.288668309	ZXEUURDO
0.662503736	TLLDNUUH
0.225680509	GEMUUQNF
0.982353404	ZVGS
0.488961451	IUASGPIC
0.024284387	ZWHJVYJATW
0.203936751	YQWPKCU
0.789191823	XTYHQOC
0.431786348	XMAZHBI
0.352735782	ZTACIF
0.444481462	UYCAWMZXG
0.247113205	ZDNP
0.91070616	BASMQTWLM
0.98682361	FHWMFSK
0.215454553	BZQRJHKAWZ
0.671050981	MIK
0.828910789	TZLRF
0.17584119	DGEKSIV
0.374069054	MJYTY
0.401500105	MIDBXEXTXT
0.812801186	NOY
0.9475296	KRNZ
0.918629342	LGEQTNLOMF
0.884815939	CPATLJCYJ
0.117595743	IMU
0.269824991	UARCISWZ
0.104949228	LKFV
0.471685146	KQROR
0.592754467	QPODMJO
0.286520698	MLXOKZ
0.281813391	FUYAEE
0.590798083	DOV
0.482064506	EKHPJXY
0.325893158	XRN
0.707840753	FKF
0.012541612	HAKBYO
0.737643285	MANOYCEKBL
0.713967526	DEIGU
0.976979479	HWBAOJT
0.986412506	VPHUPX
0.026294436	IMCPA
0.130398659	TUDFURSG
0.264297657	HRMGVO
0.79645745	DZMZDLXWHL
0.618776991	MSQBTSX
0.805336796	TZSHFQ
0.048302192	KVHL
0.708992437	PVGGNI
0.829617524	CXMHP
0.20165854	JWD
0.111489999	EAC
0.180754705	YFULYWRC
0.439585665	NUGQRNV
0.847411503	DCIEZ
0.595009694	EQFX
0.656643926	KCRE
0.207012624	PKUVHWH
0.561346565	EXLN
0.65479148	AWSZFLDRMX
0.26033305	GSAK
0.406533897	ZCGZVMN
0.951322558	UOGOUODFQN
